tweetid;tweetid-href;tweetername;tweeterhandle;tweetbody;numberoflikes;numberofretweets;timeoftweet
21. feb. 2016;https://twitter.com/GodLedelse/status/701704069396692992;MacMann Berg;@GodLedelse;Læs nu om vores læringslaboratorium for studerende, MacLab, på http://macmannberg.dk/om-os/maclab/  #MacMannBerg #studiepraktik #aarhusuni;3;0;1456134261
21. feb. 2016;https://twitter.com/madslethdk/status/701703308696797184;Mads Leth Jakobsen;@madslethdk;Cool research on innovative behavior #AarhusUni #dkledelse Hakonsson et al. on emotions and te... https://youtu.be/Yp5GYWec7Mc  via YouTube;2;1;1456134080
21. feb. 2016;https://twitter.com/AarhusUni/status/701700705049038848;Aarhus Universitet;@AarhusUni;"Prof. Dorthe D. Håkonsson fra Business Dev. & Techn. på #AarhusUni medforfatter til ""frusterende"" artikel. Se video: https://twitter.com/tuffmann/status/701694333154672640 …";2;1;1456133459
21. feb. 2016;https://twitter.com/AUstudieliv/status/701531479164096512;AUstudieliv/pause;@AUstudieliv;I morgen skal vi følge @simonobirek fra medievidenskab! #austudieliv #aarhusuni;3;0;1456093113
18. feb. 2016;https://twitter.com/Deakin_ADI/status/700538367847505920;Alfred Deakin Inst.;@Deakin_ADI;Mark Sedgwick's history lessson at #ADITER2016 Listen here http://bit.ly/1RbqU1N  #counterterrorism #aarhusuni;0;0;1455856336
18. feb. 2016;https://twitter.com/AarhusUni/status/700281805925191682;Aarhus Universitet;@AarhusUni;Hi Tara - thx for sharing! We look forward to welcome you at #Aarhusuni https://twitter.com/taravanho/status/700276066536067072 …;0;0;1455795167
17. feb. 2016;https://twitter.com/SuneMonrad/status/700233682817314816;Sune Monrad;@SuneMonrad;Tilvalgsdag på #aarhusuni. Nogle anbefalinger fra #audigitaldesign?;0;0;1455783694
17. feb. 2016;https://twitter.com/MGuldbjerg/status/699965203539193857;Mikkel Guldbjerg;@MGuldbjerg;Calling Danes with a #phdlife! Vi har brug for 5 minutters opmærksomhed til dette lille spørgeskema http://goo.gl/forms/c0x2OjhZBD … #SDU #aarhusuni;38;0;1455719683
17. feb. 2016;https://twitter.com/caspervagner/status/699963131351736320;Casper Vagner;@caspervagner;Går du på en lang, videregående udd.? Så svar på mit spørgeskema. Det handler om nyheder. #uddpol #aarhusuni #kbhuni http://goo.gl/forms/c0x2OjhZBD …;0;0;1455719189
17. feb. 2016;https://twitter.com/CTL_AarhusBSS/status/699953278755405824;CTL Aarhus BSS;@CTL_AarhusBSS;Kom godt fra start som ny uni #underviser med denne håndbog. http://bit.ly/1mHefJe  #aarhusuni @annajbagerpic.twitter.com/merq7mEGvy;0;5;1455716840
16. feb. 2016;https://twitter.com/SuneMonrad/status/699906278907314180;Sune Monrad;@SuneMonrad;Domæne valgt, mindmaps lavet, blog oppe at køre: https://ipsofactodesign.wordpress.com/  #IpsoFactoD #aarhusuni;0;0;1455705635
16. feb. 2016;https://twitter.com/stllau/status/699864407766134784;ST Learning Lab;@stllau;Vi søger en ny kollega - ledig stilling som 'Læringskonsulent' @stllau http://www.au.dk/om/stillinger/teknisk-administrative-stillinger/stillinger/Vacancy/show/806225/6588/ … #edtech #educationalit #aarhusuni;1;1;1455695652
15. feb. 2016;https://twitter.com/MadeleineFriis/status/699547164024897536;Madeleine;@MadeleineFriis;14 dage til aflevering -nu begynder det så småt at krible af spænding #frivilligoplevelsen #aarhus2017 #aarhusuni #yourniversity #auspeciale;1;0;1455620015
14. feb. 2016;https://twitter.com/AUstudieliv/status/698985531473076224;AUstudieliv/pause;@AUstudieliv;Husk at man er meget velkommen til at blive ugeredaktør og dele sit studieliv! Ledigt fra uge 9. Alle AU studerende er velkomne #aarhusuni;0;4;1455486111
14. feb. 2016;https://twitter.com/AUstudieliv/status/698984557392089088;AUstudieliv/pause;@AUstudieliv;Fra i morgen skal vi følge @christinaubak fra Litteraturhistorie! #aarhusuni #austudieliv;1;1;1455485879
12. feb. 2016;https://twitter.com/MadsLorenzorro/status/698123959213170688;Mads Lorenzen;@MadsLorenzorro;@SteenAJ Nej? De skriver sort på hvidt, rapporten er baseret på #aarhusuni beregninger. Nu siger han, det er deres egne? #dkmiljø;0;0;1455280697
12. feb. 2016;https://twitter.com/claudia1le/status/698118451790016512;Claudia Leskien;@claudia1le;At PhD defence of Silvia Pirola about preperation for 1st EP elections in Italy through party press #aarhusuni pic.twitter.com/lhtpuuH95b;0;0;1455279383
11. feb. 2016;https://twitter.com/lucafex/status/697828353835982848;IG: lucafex;@lucafex;Just went to a really nice workshop about Danish job market. And I found my favourite quote #aarhusuni #yourniver…pic.twitter.com/wIrFPSwPBR;0;0;1455210219
10. feb. 2016;https://twitter.com/Ditte_Engholm/status/697712582606639104;Ditte Høyer Engholm;@Ditte_Engholm;This week I started #painting after the colors had been analyzed and tested! #phdlife #aarhusuni #phdchat #phdchatpic.twitter.com/TGsc0gj69s;1;0;1455182617
10. feb. 2016;https://twitter.com/LHallund/status/697694386935742464;laust hallund;@LHallund;Så har #aarhusuni også udvist manglende rettidig omhu - eller hvad siger din analyse, @jakob_fuglsang :) #uddpolhttps://twitter.com/Filoffen/status/697558793085980672 …;0;0;1455178279
10. feb. 2016;https://twitter.com/AnjaArtsAU/status/697421746367021057;Anja Kjærgaard;@AnjaArtsAU;Institut for Kommunikation og Kultur på #aarhusuni udnævner fem nye MSO-professorer http://cc.au.dk/aktuelt/nyheder/nyhed/artikel/institut-for-kommunikation-og-kultur-udnaevner-fem-nye-mso-professorer/ …;2;2;1455113276
10. feb. 2016;https://twitter.com/YsysBelle/status/697418237387141123;Ylysses;@YsysBelle;Cafébabel comes to Aarhus!! Join the first meeting https://www.facebook.com/events/599888946831515/ … #Aarhus #dmjx #journalism #Denmark #writing #aarhusuni #love;0;0;1455112439
10. feb. 2016;https://twitter.com/mdlarsen/status/697414940928385024;martin d larsen;@mdlarsen;Great talk on 'ontological turn-ons' by Prof Morten A Pedersen at #academichour, Dep of Anthropology #MoCa #Aarhusuni;0;0;1455111653
10. feb. 2016;https://twitter.com/YsysBelle/status/697411557601452033;Ylysses;@YsysBelle;@cafebabel_ENG comes to Aarhus! @aarhus_ints join the first meeting https://www.facebook.com/events/599888946831515/ … #journalism #Aarhus #aarhus2017 #aarhusuni;0;0;1455110847
10. feb. 2016;https://twitter.com/MeeelJooo/status/697395675710021632;Meeel;@MeeelJooo;Wanna turn heads?#yourniversity #AarhusUni Just open a can of soda in the study hall and watch them heads roll https://goo.gl/iwQI1H ;0;0;1455107060
10. feb. 2016;https://twitter.com/katrinegellert/status/697394490521317377;Katrine Løth;@katrinegellert;Metode forelæsningen #aarhusuni;0;0;1455106778
10. feb. 2016;https://twitter.com/UlrikV_AU/status/697392878566449152;Ulrik Vosgerau;@UlrikV_AU;Anthropologist @ChristianVium from #aarhusuni receives International Photo Award #artsaudk http://cas.au.dk/en/currently/news/singlenews/artikel/anthropologist-receives-international-photo-award/ …pic.twitter.com/006q0vYomo;0;2;1455106393
